Comment,Designator,Footprint,LCSC
100nF,"C2,C4",C_0402_1005Metric,C100072
5.1k,"R1,R2,R3,R4",R_0402_1005Metric,C25905
GT-USB-7014F,J2,GT-USB-7014F,C3001282
AP2112K-3.3,U1,SOT-23-5,C427602
1uF,"C1,C3",C_0402_1005Metric,C52923
USB_C_Plug_USB2.0,P1,105444,C561769
CH340C,U2,SOIC-16_3.9x9.9mm_P1.27mm,C7464026
